Rk,Player,WAR,Season,Player-additional
578,Dale Murphy,7.1,1983,murphda05
579,Gary Carter,7.1,1983,cartega01
580,Matt Chapman,7.1,2024,chapmma01
581,Frankie Frisch,7.1,1923,friscfr01
582,Willie Keeler,7.1,1897,keelewi01
583,Eddie Murray,7.1,1984,murraed02
584,Juan Soto,7.1,2021,sotoju01
585,Ted Williams,7.1,1951,willite01
586,Bobby Ávila,7.1,1954,avilabo01
587,John McGraw,7.1,1898,mcgrajo01
588,Kirby Puckett,7.1,1992,puckeki01
589,Robin Yount,7.1,1980,yountro01
590,Bill Dahlen,7.1,1896,dahlebi01
591,Josh Donaldson,7.1,2015,donaljo02
592,Joe DiMaggio,7.1,1940,dimagjo01
593,Ken Griffey Jr.,7.1,1991,griffke02
594,Harry Heilmann,7.1,1927,heilmha01
595,Ryne Sandberg,7.1,1990,sandbry01
596,Marcus Semien,7.1,2021,semiema01
597,Jim Wynn,7.1,1969,wynnji01
598,Joe Cronin,7.1,1933,cronijo01
599,Andruw Jones,7.1,1999,jonesan01
600,Jeff Kent,7.1,2002,kentje01
